stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Development\Projects\Template\bin\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.04143] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04144] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04144] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04145] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04146] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04146] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04147] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04148] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04148] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04149] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04150] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04150] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
